RteUid,RsgUid,txtDesig,txtLocDesig,DpnUidSta,NdbUidSta,VorUidSta,DpnUidEnd,NdbUidEnd,VorUidEnd,codeIdSta,geoLatSta,geoLongSta,codeIdEnd,geoLatEnd,geoLongEnd,valMagTrack,newvalMagTrack,valReversMagTrack,newvalReverseMagTrack,valLen,newValLen
332497,335339,UW605,FK-FT,327592,,,325975,,,VOSLI,10.155277777777778,15.584444444444445,ENERI,10.267525000000001,15.894963888888888,69.0,68.0,249.0,248.0,20,20
332497,335341,UW605,FK-FT,325975,,,326719,,,ENERI,10.267525000000001,15.894963888888888,BORKI,10.710441666666666,17.130125,69.0,68.0,249.0,248.0,78,78
332497,335343,UW605,FK-FT,326719,,,326038,,,BORKI,10.710441666666666,17.130125,ERESA,11.639228888888889,19.77903138888889,69.0,68.0,249.0,248.0,166,166
332497,335345,UW605,FK-FT,326038,,,327613,,,ERESA,11.639228888888889,19.77903138888889,XULAK,12.174999999999999,21.3475,69.0,68.0,249.0,248.0,98,98
332497,410941,UW605,FK-FT,327613,,,404359,,,XULAK,12.174999999999999,21.3475,ILBIB,12.545,22.45,69.0,68.0,249.0,248.0,68,68
332501,335351,UY252,DG-DB,321582,,,,,324272,EBUSO,5.524872222222222,1.8073138888888889,TYE,6.362133333333333,2.393283333333333,38.0,37.0,218.0,217.0,62,61
332503,335353,V207,GF-DI,,,321021,325402,,,LGI,8.617177777777778,-13.191366666666667,AMPAS,6.666666666666667,-7.816666666666666,120.0,115.0,300.0,295.0,340,341
354074,393211,A400,DI-FN,325945,,,393205,,,EGADU,4.860555555555555,-3.0,GAPAK,0.9405555555555556,5.5088888888888885,118.0,117.0,298.0,297.0,562,562
354156,413261,UB535,FZ-FZ,413237,,,321570,,,INALO,-4.784955555555555,14.423549999999999,EBNON,-4.553419444444445,15.026444444444445,70.0,69.0,250.0,249.0,39,39
354166,408530,UG654,FM-FQ,322677,,,,,324269,TETRO,-25.486666666666668,40.0,TU,-23.391175,43.72199166666667,80.0,81.0,260.0,261.0,239,239
393819,400990,A607,DR-FE,326941,,,325579,,,ONLET,14.545277777777777,14.296666666666667,BOLBE,13.424005805555556,14.644613583333333,162.0,161.0,342.0,341.0,70,70
393819,400992,A607,DR-FE,325579,,,,,324152,BOLBE,13.424005805555556,14.644613583333333,FL,12.141694444444443,15.038305555555555,162.0,161.0,342.0,341.0,80,80
393819,393825,A607,DR-FE,326902,,,327193,,,NUROK,9.427777777777777,16.275,RULDO,8.0,16.916666666666668,155.0,154.0,335.0,334.0,93,93
393819,393827,A607,DR-FE,327193,,,326281,,,RULDO,8.0,16.916666666666668,ERPOT,6.6725,17.50888888888889,155.0,154.0,335.0,334.0,87,87
393819,393829,A607,DR-FE,326281,,,327013,,,ERPOT,6.6725,17.50888888888889,POKOT,5.601111111111111,17.984166666666667,155.0,154.0,335.0,334.0,70,70
393819,393831,A607,DR-FE,327013,,,,,324200,POKOT,5.601111111111111,17.984166666666667,MPK,4.3782499999999995,18.524833333333333,155.0,154.0,335.0,334.0,80,80
401768,401773,R982,DF-DF,,,324227,401770,,,OG,12.346277777777779,-1.5128333333333333,NAVON,11.0,-1.2149999999999999,170.0,169.0,350.0,349.0,82,82
402237,402247,R984-1,DF-DB,326506,,,326464,,,KILMO,9.461699999999999,0.9916999999999999,KELEX,7.863180555555555,2.3571305555555555,140.0,141.0,320.0,321.0,121,125
402237,402252,R984-1,DF-DB,326464,,,402249,,,KELEX,7.863180555555555,2.3571305555555555,OPALA,7.4,2.75,147.0,141.0,327.0,321.0,41,36
403163,403165,W118,FC-FC,,,324170,401326,,,IT,-4.8239244999999995,11.88744461111111,LIKAD,-5.123333333333333,11.702777777777778,214.0,213.0,34.0,33.0,21,21
410652,410654,UR982,DF-DF,,,324227,401770,,,OG,12.346277777777779,-1.5128333333333333,NAVON,11.0,-1.2149999999999999,170.0,169.0,350.0,349.0,82,82
410919,410921,UW118,FC-FC,,,324170,401326,,,IT,-4.8239244999999995,11.88744461111111,LIKAD,-5.123333333333333,11.702777777777778,214.0,213.0,34.0,33.0,21,21
410997,411011,UR988,FO-FC,,,324155,327583,,,FRV,-1.6530833333333332,13.443916666666667,VOPAT,-2.4646333333333335,13.047216666666667,207.0,206.0,27.0,26.0,54,54
410997,411013,UR988,FO-FC,327583,,,,,324170,VOPAT,-2.4646333333333335,13.047216666666667,IT,-4.8239244999999995,11.88744461111111,208.0,207.0,28.0,27.0,157,157
412070,412072,UT475,DN-FE,,,412043,412046,,,ABC,9.037777777777778,7.285,GADUV,7.158333333333334,11.828333333333333,113.0,112.0,293.0,292.0,,293
412070,412076,UT475,DN-FE,412049,,,412052,,,BIRIX,6.863333333333333,12.551388888888889,AREKA,6.384166666666667,13.71888888888889,112.0,111.0,292.0,291.0,75,75
412070,412083,UT475,DN-FE,412055,,,412058,,,BONRI,6.269444444444445,13.996388888888887,EPONA,5.921388888888889,14.8375,112.0,111.0,292.0,291.0,54,54
412070,412085,UT475,DN-FE,412058,,,412061,,,EPONA,5.921388888888889,14.8375,TASOM,5.58,15.658333333333333,112.0,111.0,292.0,291.0,53,53
412070,412087,UT475,DN-FE,412061,,,412064,,,TASOM,5.58,15.658333333333333,KIBLO,5.034166666666667,16.963055555555556,112.0,111.0,292.0,291.0,85,85
412070,412089,UT475,DN-FE,412064,,,412067,,,KIBLO,5.034166666666667,16.963055555555556,ANIPA,4.819166666666667,17.47472222222222,112.0,111.0,292.0,291.0,33,33
